Страна,1,2,3,4,5,6,7,Лого
1,Тамбов,Тамбов,Тамбов,Тамбов,Тамбов,Тамбов,Тамбов,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Russia/Tambov.png
1,Локомотив М,Локомотив М,Локомотив Москва,Локомотив Москва,Локомотив Москва,Локомотив М,Локомотив,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Russia/FC_Lokomotiv_2.png
1,Оренбург,Оренбург,Оренбург,Оренбург,Оренбург,Оренбург,Оренбург,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Russia/FC_Orenburg.png
1,Ахмат,Ахмат,Ахмат,Ахмат Грозный,Ахмат,Ахмат,Ахмат,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Logo_Akhmat.png
1,Зенит,Зенит С-Петербург,Зенит,Зенит Санкт-Петербург,Зенит Ст.Петербург,Зенит С-Пб,Зенит,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/220px-FC_Zenit_1_star_2015_logo.png
1,Рубин,Рубин Казань,Рубин,Рубин,Рубин,Рубин,Рубин,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Russia/RubinLogo2019.png
1,Арсенал Тула,Арсенал Тула,Арсенал Тула,Арсенал Тула,Арсенал Тула,Арсенал Тула,Арсенал Тула,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1863.png
1,Урал,Урал,Урал,Урал,Урал,Урал,Урал,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/15213.png
1,Спартак М,Спартак М,Спартак Москва,Спартак Москва,Спартак Москва,Спартак М,Спартак,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Spartak_logo_2013.png
1,Крылья Советов,Крылья Советов,Крылья советов,Крылья советов,Крылья Советов,Крылья Советов,Крылья Советов,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1848.png
1,ЦСКА М,ЦСКА,ЦСКА,ЦСКА Москва,ЦСКА Москва,ЦСКА М,ЦСКА,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1842.png
1,Динамо М,Динамо М,Динамо Москва,Динамо Москва,Динамо Москва,Динамо М,Динамо Москва,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Russia/DynamoMoskva.png
1,Ростов,Ростов,Ростов,Ростов,Ростов,Ростов,Ростов,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Rostov.svg.png
1,ФК Краснодар,Краснодар,Краснодар,Краснодар,Краснодар,Краснодар,Краснодар,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/10610.png
